pa_action,b0_action,count,pa_net,b0_net,delta,delta_pct,citation,split,data_op
wait,close,204,348969.49000000005,596379.05,-247409.56,-124.9436443369035,per_transaction_decisions.csv — wait->close divergent set,test,OP-F
reminder,retry,22,29908.409999999996,120238.67,-90330.26000000001,-45.617444525183345,per_transaction_decisions.csv — reminder->retry divergent set,test,OP-F
payment_link,retry,60,26475.06,36908.65,-10433.59,-5.269039555775747,per_transaction_decisions.csv — payment_link->retry divergent set,test,OP-F
payment_link,reminder,366,150862.97,121589.1,29273.869999999995,14.783519285369362,per_transaction_decisions.csv — payment_link->reminder divergent set,test,OP-F
discount,reminder,355,136931.733,87887.01000000001,49044.723,24.767945212440257,per_transaction_decisions.csv — discount->reminder divergent set,test,OP-F
discount,retry,273,229127.904,157290.01,71837.894,36.27866392005294,per_transaction_decisions.csv — discount->retry divergent set,test,OP-F
