split,data_op,policy,n_transactions,recovered_count,recovery_rate,gross_amount,intervention_cost,discount_haircut,net_amount,net_per_txn
val,OP-V,policy_a,1435,326,22.717770034843205,1238245.7349999999,2680.0,38468.385,1235565.7349999999,861.0214181184668
val,OP-V,b0_waterfall,1435,272,18.954703832752614,992650.9500000001,3216.0,0.0,989434.9500000001,689.5017073170732
test,OP-F,policy_a,1577,361,22.89156626506024,1302749.4470000002,2797.0,40673.293000000005,1299952.4470000002,824.3198776157261
test,OP-F,b0_waterfall,1577,312,19.784400760938492,1501443.37,3474.0,0.0,1497969.37,949.8854597336716
test,OP-F,b1_random,1577,266,16.867469879518072,1363512.352,2427.0,11300.308,1361085.352,863.0851946734306
test,OP-F,b6_oracle,1577,818,51.8706404565631,3360246.125,1235.0,37399.625,3359011.125,2130.000713379835
