action,n,gap_pred_minus_real,gap_real_minus_pred,se_used_in_artifact,se_realized_single,se_pred_single,se_poisson_binom,snapshot_se,snapshot_signed_gap,snapshot_ci_excludes_zero,matches_realized_single,matches_pred_single,matches_poisson_binom,pb_ci_excludes_zero
retry,567,-0.0074798257496464515,0.0074798257496464515,0.019899394747117927,0.019899394747117927,0.01979080737762389,0.01899209500228902,0.0188,0.0075,False,False,False,False,False
payment_link,1261,0.004023971994501718,-0.004023971994501718,0.011536108876537948,0.011536108876537948,0.011614585498078183,0.010970069779592499,0.0109,-0.004,False,False,False,False,False
reminder,1261,0.019994664335743872,-0.019994664335743872,0.010308093079879368,0.010308093079879368,0.010804678175024875,0.010118412820129022,0.0099,-0.02,True,False,False,False,True
discount,918,-0.0014205513552076887,0.0014205513552076887,0.013697364662367333,0.013697364662367333,0.013665743279596205,0.01266823151551792,0.013,0.0014,False,False,False,False,False
wait,1435,0.002887066870282007,-0.002887066870282007,0.009026282133888721,0.009026282133888721,0.009106913400402388,0.008538894270142514,0.0085,-0.0029,False,False,False,True,False
close,1435,-0.007251145706147849,0.007251145706147849,0.008263159589010286,0.008263159589010286,0.008018904724567231,0.007605991308491433,0.0078,0.0073,False,False,False,False,False
