action,n_allowed,mean_predicted,realized_rate,signed_gap,se,ci_low,ci_high,ci_excludes_zero
retry,567,0.33290818130502725,0.3403880070546737,-0.0074798257496464515,0.019899394747117927,-0.04648263945399759,0.031522987954704686,False
payment_link,1261,0.217346731709014,0.21332275971451228,0.004023971994501718,0.011536108876537948,-0.01858680140351266,0.026634745392516097,False
reminder,1261,0.1793919680629445,0.15939730372720062,0.019994664335743872,0.010308093079879368,-0.00020919810081968665,0.04019852677230743,False
discount,918,0.21971234624827815,0.22113289760348584,-0.0014205513552076887,0.013697364662367333,-0.02826738609344766,0.025426283383032284,False
wait,1435,0.13807870450094403,0.13519163763066203,0.002887066870282007,0.009026282133888721,-0.014804446112139887,0.0205785798527039,False
close,1435,0.10285338391057688,0.11010452961672473,-0.007251145706147849,0.008263159589010286,-0.02344693850060801,0.008944647088312312,False
