action_pa,action_b0,count,pa_net,b0_net,delta,delta_pct
wait,close,204,348969.49000000005,596379.05,-247409.56,-124.9436443369035
reminder,retry,22,29908.409999999996,120238.67,-90330.26000000001,-45.617444525183345
payment_link,retry,60,26475.06,36908.65,-10433.59,-5.269039555775747
payment_link,reminder,366,150862.97,121589.1,29273.869999999995,14.783519285369362
discount,reminder,355,136931.733,87887.01000000001,49044.723,24.767945212440257
discount,retry,273,229127.904,157290.01,71837.894,36.27866392005294
